family,source_train_time_sec,target_train_time_sec,weight_compute_time_sec,alignment_train_time_sec,TOTAL
Feature-Based,0.27727288552381735,5.856413742761932,0.00020272758553127653,0.0,6.133889355871281
Instance-Based,0.0,4.028013718328385,0.3274603934690894,0.0,4.3554741117974745
Parameter-Based,0.910611030786557,1.8547309267441514,0.0001253200789492544,0.0,2.7654672776096576
