family,n_runs,mean_MAE,median_MAE,best_MAE,mean_R2,mean_Acc_pm1,mean_cost_sec,median_cost_sec,total_cost_sec,mean_params,cost_per_run_sec
Feature-Based,567,0.3050455319739523,0.2500726282596588,0.0576022304594516,0.7396852168036095,96.49848005459395,6.133889355871281,4.780726704000699,3477.915264779016,43655.09523809524,6.133889355871281
Instance-Based,405,0.32829589485938165,0.2625783681869507,0.0568463765084743,0.7095311226668182,95.92980333767605,4.3554741117974745,3.789805259999412,1763.9670152779772,43563.666666666664,4.3554741117974745
Parameter-Based,684,0.3711935593855723,0.2988007366657257,0.0541303865611553,0.36855208495041225,95.14081004437391,2.765467277609658,2.8125913120002224,1891.579617885006,42941.63157894737,2.765467277609658
