family,source_train,target_train,weight_compute,alignment_train,TOTAL (complexity)
Feature-Based,157.21372609200444,3320.5865921460154,0.11494654099623379,0.0,3477.915264779016
Instance-Based,0.0,1631.345555922996,132.6214593549812,0.0,1763.9670152779772
Parameter-Based,622.857945058005,1268.6359538929996,0.08571893400129,0.0,1891.579617885006
