Setting,Backbone,CORAL,DeepCORAL,Deep MMD,PRED,FA,CCSA,WDGRL,CORAL (TSBW),DeepCORAL (TSBW),Deep MMD (TSBW),PRED (TSBW),FA (TSBW),CCSA (TSBW),WDGRL (TSBW)
Room_A → Room_B,RNN,0.28,0.28,0.25,0.26,0.28,0.24,0.24,0.25,0.22,0.22,0.26,0.25,0.20,0.22
Room_A → Room_B,LSTM,0.28,0.24,0.29,0.31,0.33,0.23,0.25,0.25,0.26,0.25,0.31,0.24,0.24,0.25
Room_A → Room_B,Transformer,0.20,0.23,0.21,0.33,0.21,0.23,0.20,0.24,0.26,0.24,0.34,0.20,0.22,0.20
Room_B → Room_C,RNN,0.68,0.59,0.66,0.57,0.64,0.68,0.78,0.68,0.68,0.58,0.57,0.61,0.70,0.81
Room_B → Room_C,LSTM,0.57,0.64,0.70,0.71,0.55,0.56,0.67,0.57,0.60,0.72,0.73,0.63,0.67,0.75
Room_B → Room_C,Transformer,0.68,0.67,0.63,0.67,0.68,0.63,0.80,0.71,0.69,0.64,0.68,0.73,0.71,0.92
Room_C → Room_A,RNN,0.27,0.38,0.54,0.41,0.46,0.34,0.31,0.34,0.34,0.23,0.44,0.48,,
